Country Name,Country Code,Year,gdp_percap
Africa Eastern and Southern,AFE,1960,186.121834666874
Africa Western and Central,AFW,1960,121.939925360065
Argentina,ARG,1960,778.251706763404
Australia,AUS,1960,1810.7064295701
Austria,AUT,1960,939.914814681174
Burundi,BDI,1960,70.9051000304602
Belgium,BEL,1960,1290.28607216192
Benin,BEN,1960,89.8569246539715
Burkina Faso,BFA,1960,69.1502456087615
Bangladesh,BGD,1960,82.4812774116354
"Bahamas, The",BHS,1960,1459.25382495907
Belize,BLZ,1960,307.414508338751
Bermuda,BMU,1960,1715.31463229719
Bolivia,BOL,1960,100.815082854737
Brazil,BRA,1960,235.266009502589
Barbados,BRB,1960,346.575456793331
Botswana,BWA,1960,58.9180081084204
Central African Republic,CAF,1960,65.8829629770666
Canada,CAN,1960,2264.94849658191
Switzerland,CHE,1960,1954.3113206427
Chile,CHL,1960,516.487539077836
China,CHN,1960,89.7150749167731
Cote d'Ivoire,CIV,1960,148.680788984181
Cameroon,CMR,1960,119.05394115577
"Congo, Dem. Rep.",COD,1960,220.074550221277
"Congo, Rep.",COG,1960,124.659670363931
Colombia,COL,1960,258.304433616071
Costa Rica,CRI,1960,382.309121831519
Caribbean small states,CSS,1960,455.490441600162
Germany,DEU,1960,1162.12266831735
Denmark,DNK,1960,1389.0213943225
Dominican Republic,DOM,1960,205.731509857004
Algeria,DZA,1960,238.392476666447
East Asia & Pacific (excluding high income),EAP,1960,90.2785018672538
Early-demographic dividend,EAR,1960,149.20996279072
East Asia & Pacific,EAS,1960,150.820305366653
Europe & Central Asia,ECS,1960,638.481075272532
Ecuador,ECU,1960,450.776317102259
"Egypt, Arab Rep.",EGY,1960,156.387397481519
Euro area,EMU,1960,930.646698109773
Spain,ESP,1960,407.96302786933
Ethiopia,ETH,1960,75.3396090705961
European Union,EUU,1960,796.566286490154
Fragile and conflict affected situations,FCS,1960,139.231373892095
Finland,FIN,1960,1191.85508873415
Fiji,FJI,1960,277.431535497766
France,FRA,1960,1302.53149729892
Gabon,GAB,1960,276.136169473227
United Kingdom,GBR,1960,1397.5948032844
Ghana,GHA,1960,174.858856531804
Greece,GRC,1960,513.085862390915
Guatemala,GTM,1960,256.813115286608
